Family_ID,Publication_Numbers,Compound,Relevance_Class,Therapeutic_Application,Formulation,Drug_Delivery,Combination_Therapy,Diagnostic_Application,Manufacturing,Chemical_Modification,Conjugation,Purification_Isolation,Other_Application,Evidence,Confidence,Human_Review
50977393,CA-2895149-C,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Same family as previously classified ES-2727686-T3 (screening_table.csv): cytarabine appears only in a ~20-item list of chemotherapeutic agents combinable with the claimed bromelain/NAC mucin-disease composition; not the invention focus. Reused prior evidence, same family.",High,No
42173409,US-20130137650-A1,Cytarabine,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,Claims a specific combination therapy regimen naming exact cytarabine intravenous dosing (200 mg/m2/day days 1-7) combined with a novel compound and daunorubicin for a proliferative disease; cytarabine dosing is a defined element of the claimed method.,High,No
35196733,CA-2564542-C,Cytarabine,Directly Relevant,Yes,Yes,No,Yes,No,No,No,No,No,,Claim 1 is a liposomal composition specifically comprising daunorubicin and cytarabine in a defined 1:1-1:10 mole ratio maintained in blood; cytarabine is a core claimed active ingredient of the formulation.,High,No
58518371,CA-3002067-C,Cytarabine,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Claims a mutant IDH1 inhibitor combination therapy for AML where cytarabine is an explicit, dosed component of both the induction and consolidation regimens.",High,No
14500416,EP-0563697-B1,Cytarabine,Directly Relevant,No,Yes,No,No,No,No,No,No,No,,"Claim 1 is directly a ""cytarabine ocfosfate hard capsule"" formulation; cytarabine ocfosfate is a defined prodrug/ester form of cytarabine and is the central claimed subject.",High,No
50626256,EP-3858350-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Cytarabine appears only inside a background list of ~10 named historical combination-chemotherapy regimen acronyms (ProMACE-CytaBOM, DHAP, ESHAP, CAMP, etc.), each itself a multi-drug list; this is prior-art context, not the claimed invention (which is a different therapeutic agent/method, not identified in the pulled excerpt).",Medium,Yes
40535624,CA-2715166-C,Cytarabine,Indirectly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Claims a humanized anti-tumor antibody combined with one of 5 specifically named chemotherapeutic agents (5-fluorouracil, cytarabine, oxaliplatin, paclitaxel, cisplatin); cytarabine is a real, substantive combination option but one of only 5 named agents, not the central focus.",Medium,Yes
47882050,US-9545416-B2,Cytarabine,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Dependent claim 2 specifically narrows the claimed additional chemotherapeutic agent to cytarabine, with detailed dosing claimed in claims 3-6 (5-15 uM/day, up to 100 mg/m2/day); a specifically claimed embodiment of the combination method.",High,No
55752234,AU-2017233886-B2,Cytarabine,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Claim 1 lists cytarabine among 14 named therapeutic agents combinable with the claimed compound, but dependent claim 4 specifically narrows the therapeutic agent to cytarabine (or a pharmaceutically acceptable salt) -- a specifically claimed embodiment, not just background.",Medium,No
39690832,AU-2008216083-B2,Cytarabine,Directly Relevant,Yes,Yes,No,Yes,No,No,No,No,No,,Claim 1 is a liposomal composition of cytarabine and daunorubicin at a defined fixed 5:1 molar ratio with specific dosing (32-134 mg/m2); cytarabine is a core claimed active ingredient.,High,No
47144695,AU-2012244218-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Cytarabine appears twice as background: once in a ~25-item generic nucleoside-analog list, and again inside a list of ~20 named historical combination-chemotherapy regimen acronyms (ProMACE-CytaBOM, DHAP, ESHAP, CAMP, etc.); prior-art context, not the claimed invention.",High,No
50483415,US-20160082071-A1,Cytarabine,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Dependent claims specifically narrow the chemotherapeutic agent combined with a CXCR4-antagonistic peptide to cytarabine, with defined dosing (1-10 g/m2/day, IV route); a specifically claimed embodiment.",High,No
48141268,AU-2012326370-C1,Cytarabine,Directly Relevant,Yes,Yes,No,Yes,No,No,No,No,No,,Claim 1 is a liposomal composition of daunorubicin and cytarabine encapsulated at a defined 1:5 molar ratio with specific lipid membrane composition; cytarabine is a core claimed active ingredient.,High,No
44936282,CA-2817420-C,Cytarabine,Indirectly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Claims PM01183 (lurbinectedin) combined with an antimetabolite selected from a 10-item named list (5-fluorouracil, gemcitabine, cytarabine, capecitabine, decitabine, floxuridine, aminopterin, methotrexate, pemetrexed, raltitrexed); cytarabine is a real named combination option but one of 10, not singled out further in the pulled claims.",Medium,Yes
52014047,CA-2926307-C,Cytarabine,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,Claim 1 is explicitly a two-component pharmaceutical product of an MDM2-p53 inhibitor and cytarabine for AML treatment; cytarabine is literally the named second component of the claimed combination product.,High,No
42342776,US-20100298255-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Cytarabine appears only within an extremely long (40+) alphabetical list of leukemia chemotherapy agents; background context, not the claimed invention.",High,No
